Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.46,-.64,-.34,-.74,-.34,-.32,-1.11,-.81,-.60,-.27,-.47,-.30,.03,*****
1881,-.45,-.52,-.45,-.56,-.34,-.47,-1.03,-.71,-.31,-.29,-.41,-.42,-.25,*****
1882,-.35,-.47,-.31,-.56,-.17,-.34,-1.47,-.48,-.37,-.11,-.28,-.29,-.11,*****
1883,-.36,-.66,-.16,-.76,-.24,-.18,-.29,-1.02,-.65,-.24,-.17,-.19,.26,*****
1884,-.64,-.86,-.50,-.96,-.50,-.49,-1.30,-1.06,-.79,-.45,-.56,-.35,-.66,*****
1885,-.50,-.69,-.45,-.81,-.24,-.45,-1.38,-.84,-.60,-.13,-.48,-.35,-.44,*****
1886,-.64,-.64,-.64,-.72,-.48,-.55,-1.28,-.69,-.59,-.32,-.94,-.47,-.49,*****
1887,-.70,-.67,-.72,-.73,-.59,-.62,-1.66,-.86,-.37,-.44,-1.01,-.61,-.24,*****
1888,-.47,-.65,-.42,-.76,-.25,-.44,-1.53,-.94,-.39,-.17,-.39,-.17,-.83,*****
1889,-.19,-.33,-.17,-.41,.08,-.36,-.66,-.48,-.28,.05,.18,-.20,-.51,*****
1890,-.55,-.50,-.64,-.55,-.55,-.49,-1.06,-.75,-.21,-.34,-.85,-.52,-.19,*****
1891,-.59,-.49,-.77,-.57,-.57,-.53,-1.19,-.48,-.45,-.21,-1.08,-.45,-.46,*****
1892,-.51,-.53,-.55,-.60,-.42,-.52,-1.34,-.73,-.28,-.29,-.56,-.50,-.31,*****
1893,-.53,-.55,-.59,-.58,-.59,-.40,-.90,-.63,-.43,-.43,-.77,-.55,.20,*****
1894,-.43,-.45,-.50,-.48,-.51,-.28,-1.13,-.51,-.23,-.34,-.70,-.37,.17,*****
1895,-.36,-.43,-.37,-.49,-.34,-.25,-.87,-.61,-.26,-.22,-.49,-.24,-.04,*****
1896,-.33,-.41,-.38,-.52,-.31,-.12,-1.12,-.68,-.18,-.05,-.61,-.09,.01,*****
1897,-.22,-.25,-.23,-.35,-.04,-.31,-.70,-.38,-.20,.05,-.14,-.15,-.44,*****
1898,-.38,-.33,-.46,-.38,-.34,-.43,-1.19,-.32,-.13,-.20,-.48,-.28,-.53,*****
1899,-.31,-.19,-.50,-.24,-.33,-.33,-1.07,-.19,.02,-.02,-.66,-.19,-.43,*****
1900,-.17,-.14,-.22,-.18,-.07,-.29,-.63,-.17,-.02,.00,-.14,-.13,-.46,*****
1901,-.15,-.10,-.22,-.12,-.16,-.15,-.47,.04,-.12,-.05,-.29,-.12,.03,*****
1902,-.35,-.44,-.32,-.59,-.10,-.44,-1.66,-.65,-.14,-.01,-.18,-.24,-.70,*****
1903,-.41,-.38,-.47,-.43,-.30,-.54,-.51,-.38,-.44,-.22,-.39,-.45,-.48,-1.36
1904,-.53,-.46,-.62,-.44,-.63,-.50,-.34,-.48,-.44,-.51,-.75,-.38,-.46,-1.73
1905,-.36,-.33,-.38,-.36,-.27,-.47,-.17,-.22,-.54,-.27,-.27,-.41,-.39,-.91
1906,-.24,-.19,-.29,-.19,-.21,-.33,-.35,-.05,-.26,-.17,-.24,-.20,-.35,-.96
1907,-.53,-.58,-.53,-.66,-.47,-.48,-.70,-.87,-.48,-.38,-.57,-.45,-.28,-1.29
1908,-.39,-.37,-.45,-.40,-.42,-.35,-.43,-.46,-.33,-.30,-.55,-.49,.11,.68
1909,-.41,-.40,-.46,-.46,-.35,-.45,-.78,-.51,-.30,-.25,-.46,-.50,-.11,-.82
1910,-.34,-.35,-.36,-.33,-.42,-.25,-.70,-.18,-.33,-.38,-.46,-.27,-.05,.30
1911,-.36,-.32,-.41,-.32,-.38,-.38,-.28,-.33,-.32,-.33,-.43,-.38,-.15,-.17
1912,-.34,-.50,-.21,-.61,-.19,-.28,-.68,-.69,-.52,-.23,-.13,-.04,-.44,-2.15
1913,-.33,-.41,-.26,-.38,-.40,-.21,-.63,-.26,-.39,-.48,-.30,-.01,-.38,-1.37
1914,-.08,-.15,-.03,-.16,-.13,.04,-.57,-.06,-.10,-.15,-.09,.15,.03,-.34
1915,-.07,-.04,-.10,-.12,.13,-.30,-.67,-.06,.03,.14,.11,-.05,-.49,-2.68
1916,-.30,-.30,-.30,-.30,-.27,-.33,-.36,-.47,-.14,-.29,-.25,-.25,-.18,-1.84
1917,-.51,-.61,-.45,-.61,-.61,-.30,-.76,-.61,-.55,-.60,-.61,-.50,.41,.31
1918,-.42,-.43,-.44,-.43,-.50,-.31,-1.20,-.30,-.27,-.43,-.56,-.29,-.12,-.14
1919,-.18,-.33,-.09,-.45,-.08,-.04,-.93,-.60,-.16,-.04,-.12,.05,-.07,.12
1920,-.27,-.24,-.27,-.19,-.29,-.32,.06,-.09,-.36,-.36,-.20,-.18,-.39,-1.08
1921,-.15,-.05,-.23,.04,-.24,-.24,-.06,.19,-.05,-.25,-.22,-.09,-.30,-.96
1922,-.23,-.24,-.24,-.23,-.25,-.22,-.40,-.39,-.04,-.25,-.23,-.19,-.04,-.54
1923,-.25,-.15,-.35,-.09,-.28,-.38,.11,-.03,-.22,-.25,-.31,-.20,-.59,-.57
1924,-.22,-.10,-.31,-.09,-.14,-.46,.24,-.09,-.21,-.11,-.17,-.39,-.32,-1.46
1925,-.25,-.06,-.42,.01,-.27,-.47,-.22,.27,-.11,-.20,-.36,-.34,-.52,-.84
1926,-.04,.09,-.15,.12,.00,-.25,.39,.28,-.10,.03,-.03,-.03,-.54,-.72
1927,-.17,-.05,-.28,-.09,-.07,-.39,-.12,-.18,.00,.01,-.16,-.15,-.65,-1.84
1928,-.09,.04,-.18,.04,.02,-.37,.56,-.02,-.10,.03,.00,-.14,-.52,-3.03
1929,-.33,-.27,-.39,-.32,-.24,-.46,.00,-.46,-.33,-.18,-.31,-.35,-.41,-1.84
1930,-.15,.05,-.33,.12,-.16,-.41,.40,.14,.00,-.08,-.25,-.09,-.75,-3.31
1931,-.11,.10,-.28,.11,-.02,-.44,.38,.07,.05,.08,-.13,-.39,-.30,-.80
1932,-.12,.01,-.24,.09,-.19,-.24,.24,.27,-.10,-.15,-.23,-.09,-.28,-1.38
1933,-.25,-.25,-.27,-.29,-.22,-.27,-.37,-.45,-.13,-.18,-.25,-.13,-.29,-1.41
1934,-.10,.08,-.27,.27,-.27,-.25,.70,.46,-.06,-.27,-.27,-.19,-.11,-.84
1935,-.24,-.08,-.35,-.01,-.22,-.48,.17,.06,-.12,-.22,-.23,-.32,-.57,-1.65
1936,-.10,-.02,-.18,.01,-.11,-.20,.17,.09,-.11,-.07,-.15,-.18,-.04,.07
1937,-.01,.18,-.17,.26,-.04,-.23,1.06,.14,.07,.02,-.10,-.19,-.18,.67
1938,.05,.26,-.13,.46,-.12,-.12,1.19,.50,.14,-.12,-.12,.02,-.16,-1.22
1939,-.12,.12,-.32,.27,-.19,-.40,.49,.33,.14,-.16,-.22,-.13,-.76,-2.03
1940,.08,.13,.03,.19,.03,.01,.81,.14,.01,.02,.06,.12,-.03,-.11
1941,.03,.09,-.01,.01,.17,-.15,-.25,-.11,.22,.22,.13,.01,-.29,-.55
1942,.02,.06,.00,.07,.07,-.08,.25,-.02,.08,.04,.10,.10,-.21,-1.40
1943,-.03,.09,-.15,.31,-.27,-.06,1.17,.33,-.03,-.32,-.22,-.07,.16,1.04
1944,.03,.14,-.07,.28,-.10,-.04,1.00,.41,-.10,-.13,-.07,.12,-.21,-.44
1945,-.11,-.05,-.16,-.02,-.10,-.22,.43,-.08,-.13,-.12,-.08,.10,-.55,-2.53
1946,-.10,.04,-.23,.07,-.08,-.30,-.11,-.04,.21,-.02,-.15,-.16,-.48,.10
1947,.01,.11,-.06,.18,-.01,-.13,.87,-.07,.11,-.02,.01,-.07,-.03,-.28
1948,-.11,.07,-.25,.16,-.12,-.35,.15,.33,.03,-.11,-.14,-.14,-.51,-1.56
1949,-.14,-.03,-.23,.06,-.15,-.34,.21,.13,-.06,-.18,-.11,-.09,-.51,-2.41
1950,-.24,-.19,-.28,-.14,-.28,-.29,.09,-.28,-.11,-.29,-.27,-.05,-.50,-1.09
1951,-.09,.01,-.18,.07,-.11,-.20,.01,.05,.10,-.08,-.14,-.18,-.09,-.17
1952,-.04,.04,-.09,.08,.01,-.23,.14,-.10,.19,-.04,.07,-.16,-.14,-.69
1953,.04,.26,-.14,.40,.01,-.27,.88,.36,.24,.03,.00,-.13,-.19,-2.03
1954,-.14,-.05,-.22,.01,-.15,-.29,.59,-.27,-.01,-.15,-.14,-.15,-.29,-.84
